id,name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
1,Joseph M. Acaba,2004,19,Active,5/17/1967,"Inglewood, CA",Male,University of California-Santa Barbara,2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)"
2,Loren W. Acton,1985,10,Retired,03/07/1936,"Lewiston, MT",Male,Montana State University,1,190,0,0,STS 51-F (Challenger)
3,James C. Adamson,1984,10,Retired,03/03/1946,"Warsaw, NY",Male,US Military Academy,2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)"
4,Thomas D. Akers,1987,12,Retired,5/20/1951,"St. Louis, MO",Male,University of Missouri-Rolla,4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)"
5,Buzz Aldrin,1963,3,Retired,1/20/1930,"Montclair, NJ",Male,US Military Academy,2,289,2,8,"Gemini 12, Apollo 11"
6,Andrew M. Allen,1987,12,Retired,08/04/1955,"Philadelphia, PA",Male,Villanova University,3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)"
7,Joseph P. Allen,1967,6,Retired,6/27/1937,"Crawsfordsville, IN",Male,DePauw University,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)"
8,Scott D. Altman,1995,15,Retired,8/15/1959,"Lincoln, IL",Male,University of Illinois,4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)"
9,William A. Anders,1963,3,Retired,10/17/1933,Hong Kong,Male,US Naval Academy,1,147,0,0,Apollo 8
10,Clayton C. Anderson,1998,17,Retired,2/23/1959,"Omaha, NE",Male,Hastings College,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)"
11,Michael P. Anderson,1995,15,Deceased,12/25/1959,"Plattsburgh, NY",Male,University of Washington,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)"
12,Dominic A. Antonelli,2000,18,Active,8/23/1967,"Detroit, MI",Male,MIT,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)"
13,Jerome Apt III ,1985,11,Retired,4/18/1949,"Springfield, MA",Male,Harvard University,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)"
14,Lee J. Archambault,1998,17,Retired,8/25/1960,"Oak Park, IL",Male,University of Illinois-Urbana,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)"
15,Neil A. Armstrong,1962,2,Deceased,08/05/1930,"Wapakoneta, OH",Male,Purdue University,2,205,1,2,"Gemini 8, Apollo 11"
16,Richard R. Arnold II ,2004,19,Active,11/26/1963,"Cheverly, MD",Male,Frostburg State University,1,307,2,12,STS-119 (Discovery)
17,Jeffrey S. Ashby,1995,15,Retired,06/01/1954,"Dallas, TX",Male,University of Idaho,3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)"
18,Serena M. Aunon,2009,20,Active,04/09/1976,"Indianapolis, IN",Female,George Washington University,0,0,0,0,
19,James P. Bagian,1980,9,Retired,2/22/1952,"Philadelphia, PA",Male,Drexel University,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)"
20,Ellen S. Baker,1984,10,Retired,4/27/1953,"Fayettesville, NC",Female,State University of New York-Buffalo,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)"
21,Michael A. Baker,1985,11,Management,10/27/1953,"Memphis, TN",Male,University of Texas,4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)"
22,Michael R. Barratt,2000,18,Active,4/16/1959,"Vancouver, WA",Male,University of Washington,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)"
23,Daniel T. Barry,1992,14,Retired,12/30/1953,"Norwalk, CT",Male,Cornell University,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)"
24,John-David F. Bartoe,1985,10,Retired,11/17/1944,"Abington, PA",Male,Lehigh University,1,190,0,0,STS 51-F (Challenger)
25,Charles A. Bassett II ,1963,3,Deceased,12/30/1931,"Dayton, OH",Male,Texas Technological College,0,0,0,0,
26,Alan L. Bean,1963,3,Retired,3/15/1932,"Wheeler, TX",Male,University of Texas,2,1671,3,10,"Apollo 12, Skylab 3"
27,Robert L. Behnken,2000,18,Active,7/28/1970,"Creve Couer, MO",Male,Washington University,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)"
28,John E. Blaha,1980,9,Retired,8/26/1942,"San Antonio, TX",Male,US Air Force Academy,5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)"
29,Michael J. Bloomfield,1995,15,Retired,3/16/1959,"Flint, MI",Male,US Air Force Academy,3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)"
30,Guion S. Bluford Jr. ,1978,8,Retired,11/22/1942,"Philadelphia, PA",Male,Pennsylvania State University,4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)"
31,Karol J. Bobko,1969,7,Retired,12/23/1937,"New York, NY",Male,US Air Force Academy,3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)"
32,Eric A. Boe,2000,18,Active,10/01/1964,"Miami, FL",Male,US Air Force Academy,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)"
33,Charles F. Bolden Jr. ,1980,9,Management,8/19/1946,"Columbia, SC",Male,US Naval Academy,4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)"
34,Frank Borman,1962,2,Retired,3/14/1928,"Gary, IN",Male,US Military Academy,2,477,0,0,"Gemini 7, Apollo 8"
35,Stephen G. Bowen,2000,18,Active,2/13/1964,"Cohasset, MA",Male,US Naval Academy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)"
36,Kenneth D. Bowersox,1987,12,Retired,11/14/1956,"Portsmouth, VA",Male,US Naval Academy,5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)"
37,Charles E. Brady Jr. ,1992,14,Deceased,08/12/1951,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill,1,405,0,0,STS-78 (Columbia)
38,Vance D. Brand,1966,5,Retired,05/09/1931,"Longmont, CA",Male,University of Colorado,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)"
39,Daniel C. Brandenstein,1978,8,Retired,1/17/1943,"Watertown, WI",Male,University of Wisconsin,4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)"
40,Randolph J. Bresnik,2004,19,Active,09/11/1967,"Fort Knox, KY",Male,The Citadel,1,259,2,12,STS-129 (Atlantis)
41,Roy D. Bridges Jr. ,1980,9,Retired,7/19/1943,"Atlanta, GA",Male,US Air Force Academy,1,190,0,0,STS 51-F (Challenger)
42,Curtis L. Brown Jr. ,1987,12,Retired,03/11/1956,"Elizabethtown, NC",Male,US Air Force Academy,6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)"
43,David M. Brown,1996,16,Deceased,4/16/1956,"Arlington, VA",Male,College of William & Mary,1,382,0,0,STS-107 (Columbia)
44,Mark N. Brown,1984,10,Retired,11/18/1951,"Valparaiso, IN",Male,Purdue University,2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)"
45,James F. Buchli,1978,8,Retired,6/20/1945,"New Rockford, ND",Male,US Naval Academy,4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery"
46,Jay Clark Buckey,1998,17,Retired,06/06/1956,"New York, NY",Male,Cornell University,1,381,0,0,STS-90 (Columbia)
47,John S. Bull,1966,5,Deceased,9/25/1934,"Memphis, TN",Male,Rice University,0,0,0,0,
48,Daniel C. Burbank,1996,16,Active,7/27/1961,"Machester, CT",Male,US Coast Guard Academy,3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)"
49,Daniel W. Bursch,1990,13,Retired,7/25/1957,"Bristol, PA",Male,US Naval Academy,4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)"
50,Robert D. Cabana,1985,11,Management,1/23/1949,"Minneapolis, MN",Male,US Naval Academy,4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)"
51,Yvonne D. Cagle,1996,16,Management,4/24/1959,"West Point, NY",Female,San Francisco State University,0,0,0,0,
52,Fernando Caldeiro,1996,16,Deceased,06/12/1958,"Buenos Aires, Argentina",Male,University of Arizona,0,0,0,0,
53,Tracy E. Caldwell (Dyson),1998,17,Active,8/14/1969,"Arcadia, CA",Female,California State University-Fullerton,2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)"
54,Charles J. Camarda,1996,16,Management,05/08/1952,"Queens, NY",Male,Polytechnic Institute of Brooklyn,1,333,0,0,STS-114 (Discovery)
55,Kenneth D. Cameron,1984,10,Retired,11/29/1949,"Cleveland, OH",Male,MIT,3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)"
56,Duane G. Carey,1996,16,Retired,4/30/1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,1,262,0,0,STS-109 (Columbia)
57,M. Scott Carpenter,1959,1,Retired,05/01/1925,"Boulder, CO",Male,University of Colorado,1,4,0,0,Mercury 7
58,Gerald P. Carr,1966,5,Retired,8/22/1932,"Denver, CO",Male,University of Southern California,1,2017,3,16,Skylab 4
59,Manley Lanier Carter Jr. ,1984,10,Deceased,8/15/1947,"Macon, GA",Male,Emory University,1,120,0,0,STS-33 (Discovery)
60,John H. Casper,1984,10,Management,07/09/1943,"Greenville, SC",Male,US Air Force Academy,4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)"
61,Christopher J. Cassidy,2004,19,Active,01/04/1970,"Salem, MA",Male,US Naval Academy,1,4376,6,31,STS-127 (Endeavor)
62,Robert Cenker,1986,11,Retired,11/05/1948,"Uniontown, PA",Male,Pennsylvania State University,1,146,0,0,STS 61-C (Columbia)
63,Eugene A. Cernan,1963,3,Retired,3/14/1934,"Chicago, IL",Male,Purdue University,3,566,4,24,"Gemini 9, Apollo 10, Apollo 17"
64,Roger B. Chaffee,1963,3,Deceased,2/15/1935,"Grand Rapids, MI",Male,Purdue University,1,0,0,0,Apollo 1
65,Gregory E. Chamitoff,1998,17,Active,08/06/1962,"Montreal, Canada",Male,California Polytechnic State University,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)"
66,Franklin R. Chang-Diaz,1980,9,Retired,04/05/1950,"San Jose, Costa Rica",Male,University of Connecticut,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)"
67,Philip K. Chapman,1967,6,Retired,03/05/1935,"Melbourne, Australia",Male,University of Sydney,0,0,0,0,
68,Kalpana Chawla,1995,15,Deceased,06/01/1961,"Karnal, India",Female,Punjab Engineering College,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)"
69,Leroy Chiao,1990,13,Retired,8/28/1960,"Milwaukee, WI",Male,University of California-Berkeley,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)"
70,Kevin P. Chilton,1987,12,Retired,03/11/1954,"Los Angeles, CA",Male,US Air Force Academy,3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)"
71,Laurel B. Clark,1996,16,Deceased,03/10/1961,"Ames, IA",Female,University of Wisconsin-Madison,1,382,0,0,STS-107 (Columbia)
72,Mary L. Cleave,1980,9,Retired,02/05/1947,"Southampton, NY",Female,Colorado State University,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)"
73,Michael R. Clifford,1990,13,Retired,10/13/1952,"San Bernardino, CA",Male,US Military Academy,3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)"
74,Michael L. Coats,1978,8,Retired,1/16/1946,"Sacramento, CA",Male,US Naval Academy,3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)"
75,Kenneth D. Cockrell,1990,13,Management,04/09/1950,"Austin, TX",Male,University of Texas,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)"
76,Catherine G. Coleman,1992,14,Active,12/14/1960,"Charleston, SC",Female,MIT,3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)"
77,Eileen M. Collins,1990,13,Retired,11/19/1959,"Elmira, NY",Female,Syracuse University,4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)"
78,Michael Collins,1963,3,Retired,10/31/1930,"Rome, Italy",Male,US Military Academy,2,266,1,1,"Gemini 10, Apollo 11"
79,Charles Conrad Jr. ,1962,2,Deceased,05/02/1930,"Philadelphia, PA",Male,Princeton University,4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2"
80,L. Gordon Cooper Jr. ,1959,1,Deceased,03/06/1927,"Shawnee, OK",Male,Air Force Institute of Technology,2,225,0,0,"Mercury 9, Gemini 5"
81,Richard O. Covey,1978,8,Retired,08/01/1946,"Fayetteville, AR",Male,US Air Force Academy,4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)"
82,Timothy J. Creamer,1998,17,Management,11/15/1959,"Ft. Huachuca, AZ",Male,Loyola College,1,3917,0,0,ISS-22/23 (Soyuz)
83,John O. Creighton,1978,8,Retired,4/28/1943,"Orange, TX",Male,US Naval Academy,3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)"
84,Robert L. Crippen,1969,7,Retired,09/11/1937,"Beaumont, TX",Male,University of Texas,4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)"
85,Roger K. Crouch,1997,17,Retired,09/12/1940,"Jamestown, TN",Male,Tennessee Polytechnic Institute,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)"
86,Frank L. Culbertson Jr. ,1984,10,Retired,5/15/1949,"Charleston, SC",Male,US Naval Academy,3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)"
87,Walter Cunningham,1963,3,Retired,3/16/1932,"Creston, IA",Male,University of California-Los Angeles,1,260,0,0,Apollo 7
88,Robert L. Curbeam Jr. ,1995,15,Retired,03/05/1962,"Baltimore, MD",Male,US Naval Academy,3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)"
89,Nancy J. Currie,1990,13,Management,12/29/1958,"Wilmington, DE",Female,Ohio State University,4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)"
90,N. Jan Davis,1987,12,Retired,11/01/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)"
91,Lawrence J. Delucas,1992,14,Retired,07/11/1950,"Syracuse, NY",Male,University of Alabama at Birmingham,1,331,0,0,STS-50 (Columbia)
92,Alvin B. Drew Jr. ,2000,18,Active,11/05/1962,"Washington, DC",Male,US Air Force Academy,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)"
93,Brian Duffy,1985,11,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy,4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)"
94,Charles M. Duke Jr. ,1966,5,Retired,10/03/1935,"Charlotte, NC",Male,US Naval Academy,1,265,3,20,Apollo 16
95,Bonnie J. Dunbar,1980,9,Retired,03/03/1949,"Sunnyside, WA",Female,University of Washington,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)"
96,Samuel T. Durrance,1990,13,Retired,9/17/1943,"Tallahassee, FL",Male,California State University,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)"
97,James P. Dutton Jr. ,2004,19,Management,11/20/1968,"Eugene, OR",Male,US Air Force Academy,1,362,0,0,STS-131 (Discovery)
98,Joe F. Edwards Jr. ,1995,15,Retired,02/03/1958,"Richmond, VA",Male,US Naval Academy,1,211,0,0,STS-89 (Endeavor)
99,Donn F. Eisele,1963,3,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy,1,260,0,0,Apollo 7
100,Anthony W. England,1967,6,Retired,5/15/1942,"Indianapolis, IN",Male,MIT,1,190,0,0,STS 51-F (Challenger)
101,Joe H. Engle,1966,5,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)"
102,Jeanette J. Epps,2009,20,Active,11/03/1970,"Syracuse, NY",Female,LeMoyne College,0,0,0,0,
103,Ronald E. Evans Jr. ,1966,5,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas,1,301,1,1,Apollo 17
104,John M. Fabian,1978,8,Retired,1/28/1939,"Goosecreek, TX",Male,Washington State University,2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)"
105,Christopher J. Ferguson,1998,17,Retired,09/01/1961,"Philadelphia, PA",Male,Drexel University,3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)"
106,Martin J. Fettman,1993,14,Retired,12/31/1956,"Brooklyn, NY",Male,Cornell University,1,336,0,0,STS-58 (Columbia)
107,Andrew J. Feustel,2000,18,Active,8/25/1965,"Lancaster, PA",Male,Purdue University,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)"
108,E. Michael Fincke,1996,16,Active,3/14/1967,"Pittsburgh, PA",Male,MIT,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)"
109,Jack D. Fischer,2009,20,Active,1/23/1974,"Louisville, CO",Male,US Air Force Academy,0,0,0,0,
110,Anna L. Fisher,1978,8,Management,8/24/1949,"New York, NY",Female,University of California-Los Angeles,1,191,0,0,STS 51-A (Discovery)
111,William F. Fisher,1980,9,Retired,04/01/1946,"Dallas, TX",Male,Stanford University,1,170,2,12,STS 51-I (Discovery)
112,C. Michael Foale,1987,12,Active,01/06/1957,"Louth, England",Male,Cambridge University,6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)"
113,Kevin A. Ford,2000,18,Active,07/07/1960,"Portland, IN",Male,University of Notre Dame,2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)"
114,Michael J. Foreman,1998,17,Management,3/29/1957,"Columbus, OH",Male,US Naval Academy,2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)"
115,Patrick G. Forrester,1996,16,Management,3/31/1957,"El Paso, TX",Male,US Military Academy,3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)"
116,Michael E. Fossum,1998,17,Active,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University,3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)"
117,Theodore C. Freeman,1963,3,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy,0,0,0,0,
118,Stephen N. Frick,1996,16,Management,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy,2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)"
119,C. Gordon Fullerton,1969,7,Retired,10/11/1936,"Rochester, NY",Male,California Institute of Technology,2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)"
120,F. Andrew Gaffney,1991,15,Retired,06/09/1946,"Carlsbad, NM",Male,University of California-Berkeley,1,218,0,0,STS-40 (Columbia)
